-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _fp8_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      79.448ms        60.90%      79.448ms      16.719us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       9.416ms         7.22%       9.416ms       7.926us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.379ms         4.12%       5.379ms       2.106us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.596ms         2.76%       3.596ms       1.469us          2448  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.925ms         2.24%       2.925ms      81.241us            36  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.682ms         2.06%       2.682ms      76.632us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.567ms         1.97%       2.567ms      35.653us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.185ms         1.67%       2.185ms       1.839us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.969ms         1.51%       1.969ms       1.657us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.744ms         1.34%       1.744ms       1.468us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.256ms         0.96%       1.256ms       9.813us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.193ms         0.91%       1.193ms       4.387us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     989.804us         0.76%     989.804us       7.499us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     948.041us         0.73%     948.041us      26.334us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     933.830us         0.72%     933.830us       5.188us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     850.849us         0.65%     850.849us       8.863us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     769.800us         0.59%     769.800us       5.660us           136  
