-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _fp8_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      41.245ms        34.46%      41.245ms      11.573us          3564  
                                         _fp8_silu_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      33.787ms        28.23%      33.787ms      28.440us          1188  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.479ms         5.41%       6.479ms       5.454us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.619ms         4.69%       5.619ms       2.365us          2376  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.936ms         2.45%       2.936ms      81.568us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.791ms         2.33%       2.791ms       2.350us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.683ms         2.24%       2.683ms      76.657us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.550ms         2.13%       2.550ms      35.419us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.201ms         1.84%       2.201ms       1.852us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.252ms         1.05%       1.252ms       9.781us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.200ms         1.00%       1.200ms       4.413us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     988.578us         0.83%     988.578us       7.489us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     949.739us         0.79%     949.739us      26.382us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     936.994us         0.78%     936.994us       5.206us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     853.378us         0.71%     853.378us       8.889us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     770.309us         0.64%     770.309us       5.664us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     674.307us         0.56%     674.307us       9.365us            72  
