-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _fp8_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      79.473ms        61.99%      79.473ms      16.724us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.370ms         4.97%       6.370ms       5.362us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.372ms         4.19%       5.372ms       2.103us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.556ms         2.77%       3.556ms       1.453us          2448  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.921ms         2.28%       2.921ms      81.134us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.818ms         2.20%       2.818ms       2.372us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.681ms         2.09%       2.681ms      76.606us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.565ms         2.00%       2.565ms      35.619us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.194ms         1.71%       2.194ms       1.847us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.749ms         1.36%       1.749ms       1.472us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.251ms         0.98%       1.251ms       9.776us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         0.93%       1.189ms       4.370us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.508us         0.77%     993.508us       7.527us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     944.234us         0.74%     944.234us      26.229us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     929.546us         0.73%     929.546us       5.164us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     845.122us         0.66%     845.122us       8.803us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     775.178us         0.60%     775.178us       5.700us           136  
