-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _fp8_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      41.440ms        34.94%      41.440ms      11.627us          3564  
                                         _fp8_silu_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      34.190ms        28.83%      34.190ms      28.780us          1188  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.483ms         5.47%       6.483ms       5.457us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.426ms         4.58%       5.426ms       2.284us          2376  
void cutlass::device_kernel<vllm::cutlass_3x_gemm_sm...         0.00%       0.000us         0.00%       0.000us       0.000us       4.301ms         3.63%       4.301ms      29.866us           144  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.780ms         2.34%       2.780ms       2.340us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.699ms         2.28%       2.699ms      77.109us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.194ms         1.85%       2.194ms       1.846us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.254ms         1.06%       1.254ms       9.799us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.193ms         1.01%       1.193ms       4.386us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.896us         0.84%     993.896us       7.530us           132  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     980.966us         0.83%     980.966us       5.450us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.931us         0.71%     844.931us       8.801us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     766.598us         0.65%     766.598us       5.637us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     672.200us         0.57%     672.200us       9.336us            72  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     623.912us         0.53%     623.912us      18.906us            33  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     603.657us         0.51%     603.657us       3.391us           178  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     514.375us         0.43%     514.375us      10.716us            48  
