-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              _fp8_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      79.156ms        58.63%      79.156ms      16.657us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.875ms        10.28%      13.875ms      11.680us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.370ms         3.98%       5.370ms       2.103us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.490ms         2.58%       3.490ms       1.426us          2448  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.889ms         2.14%       2.889ms      80.239us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.700ms         2.00%       2.700ms      77.134us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.584ms         1.91%       2.584ms      35.887us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.172ms         1.61%       2.172ms       1.829us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.008ms         1.49%       2.008ms       1.690us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.738ms         1.29%       1.738ms       1.463us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.249ms         0.92%       1.249ms       9.755us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.175ms         0.87%       1.175ms       4.321us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     996.584us         0.74%     996.584us       7.550us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     947.142us         0.70%     947.142us      26.310us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     933.475us         0.69%     933.475us       5.186us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     846.525us         0.63%     846.525us       8.818us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     777.053us         0.58%     777.053us       5.714us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     680.262us         0.50%     680.262us       9.448us            72  
