-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     _tiled_weight_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      84.049ms        60.00%      84.049ms      17.687us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.959ms         9.97%      13.959ms      11.750us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.387ms         3.85%       5.387ms       2.109us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.497ms         2.50%       3.497ms       1.429us          2448  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.905ms         2.07%       2.905ms      80.696us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.710ms         1.93%       2.710ms      77.441us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.591ms         1.85%       2.591ms      35.979us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.190ms         1.56%       2.190ms       1.843us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.008ms         1.43%       2.008ms       1.691us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.721ms         1.23%       1.721ms       1.449us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.246ms         0.89%       1.246ms       9.732us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.182ms         0.84%       1.182ms       4.345us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.548us         0.71%     993.548us       7.527us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     948.844us         0.68%     948.844us      26.357us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     933.323us         0.67%     933.323us       5.185us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     851.241us         0.61%     851.241us       8.867us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     774.598us         0.55%     774.598us       5.696us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     684.837us         0.49%     684.837us       9.512us            72  
