-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      40.205ms        36.58%      40.205ms      11.281us          3564  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.329ms        27.59%      30.329ms      25.530us          1188  
void attention_history<3, false, 1>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us      11.903ms        10.83%      11.903ms      10.020us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.734ms         4.31%       4.734ms       3.985us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.700ms         2.46%       2.700ms      77.133us            35  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.205ms         2.01%       2.205ms      61.261us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.261ms         1.15%       1.261ms      35.039us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.251ms         1.14%       1.251ms       9.773us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         1.08%       1.190ms       4.374us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     983.621us         0.89%     983.621us       7.452us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     841.605us         0.77%     841.605us       8.767us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     787.846us         0.72%     787.846us      21.885us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.844us         0.71%     779.844us      21.662us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     671.431us         0.61%     671.431us       9.325us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     661.951us         0.60%     661.951us       6.365us           104  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     624.323us         0.57%     624.323us      18.919us            33  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     514.688us         0.47%     514.688us      10.723us            48  
