-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      26.705ms        30.54%      26.705ms      11.239us          2376  
                                           _direct_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      19.168ms        21.92%      19.168ms       8.067us          2376  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.341ms         7.25%       6.341ms       2.669us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       4.050ms         4.63%       4.050ms       3.409us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.683ms         3.07%       2.683ms      76.657us            35  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.198ms         2.51%       2.198ms      61.061us            36  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.167ms         2.48%       2.167ms       1.824us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.034ms         2.33%       2.034ms       1.712us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       1.662ms         1.90%       1.662ms       1.399us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.272ms         1.45%       1.272ms      35.329us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.254ms         1.43%       1.254ms       9.799us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         1.36%       1.190ms       4.376us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     990.025us         1.13%     990.025us       7.500us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.259us         0.97%     844.259us       8.794us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     775.812us         0.89%     775.812us      21.550us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     772.418us         0.88%     772.418us      21.456us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     722.204us         0.83%     722.204us       4.012us           180  
