-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      26.700ms        30.52%      26.700ms      11.237us          2376  
                                           _direct_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      19.188ms        21.94%      19.188ms       8.076us          2376  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.342ms         7.25%       6.342ms       2.669us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       4.058ms         4.64%       4.058ms       3.416us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.692ms         3.08%       2.692ms      76.916us            35  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.195ms         2.51%       2.195ms      60.984us            36  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.167ms         2.48%       2.167ms       1.824us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.034ms         2.32%       2.034ms       1.712us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       1.660ms         1.90%       1.660ms       1.398us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.279ms         1.46%       1.279ms      35.529us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.252ms         1.43%       1.252ms       9.779us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         1.36%       1.190ms       4.376us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     992.482us         1.13%     992.482us       7.519us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.297us         0.96%     843.297us       8.784us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     776.193us         0.89%     776.193us      21.561us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     771.012us         0.88%     771.012us      21.417us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     721.311us         0.82%     721.311us       4.007us           180  
