-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      26.867ms        29.60%      26.867ms      11.308us          2376  
                                           _direct_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      19.133ms        21.08%      19.133ms       8.053us          2376  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.652ms         7.33%       6.652ms       2.800us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.325ms         6.97%       6.325ms       5.324us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.700ms         2.97%       2.700ms      77.144us            35  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.335ms         2.57%       2.335ms       1.966us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.207ms         2.43%       2.207ms       1.858us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.191ms         2.41%       2.191ms      60.854us            36  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       1.662ms         1.83%       1.662ms       1.399us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.268ms         1.40%       1.268ms      35.223us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.253ms         1.38%       1.253ms       9.786us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.192ms         1.31%       1.192ms       4.381us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.376us         1.09%     993.376us       7.526us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     846.534us         0.93%     846.534us       8.818us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     778.694us         0.86%     778.694us      21.630us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     770.597us         0.85%     770.597us      21.405us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     767.142us         0.85%     767.142us       5.641us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     723.919us         0.80%     723.919us       4.022us           180  
