-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      57.499ms        52.46%      57.499ms      12.100us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.397ms         5.84%       6.397ms       5.385us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       6.185ms         5.64%       6.185ms       1.302us          4752  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.256ms         4.80%       5.256ms       2.212us          2376  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.924ms         2.67%       2.924ms      81.230us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.844ms         2.59%       2.844ms       2.394us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.699ms         2.46%       2.699ms      77.101us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.549ms         2.33%       2.549ms      35.397us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.290ms         2.09%       2.290ms       1.927us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.654ms         1.51%       1.654ms       1.392us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.252ms         1.14%       1.252ms       9.780us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms         1.08%       1.181ms       4.342us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     994.050us         0.91%     994.050us       7.531us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     945.119us         0.86%     945.119us      26.253us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     928.836us         0.85%     928.836us       5.160us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     846.340us         0.77%     846.340us       8.816us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     766.790us         0.70%     766.790us       5.638us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     673.989us         0.61%     673.989us       9.361us            72  
