-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      57.575ms        51.30%      57.575ms      12.116us          4752  
                                       _int8_activation         0.00%       0.000us         0.00%       0.000us       0.000us       8.757ms         7.80%       8.757ms       1.843us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.381ms         5.69%       6.381ms       5.371us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.249ms         4.68%       5.249ms       2.209us          2376  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.939ms         2.62%       2.939ms      81.652us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.840ms         2.53%       2.840ms       2.390us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.694ms         2.40%       2.694ms      76.959us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.565ms         2.29%       2.565ms      35.627us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.238ms         1.99%       2.238ms       1.884us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.657ms         1.48%       1.657ms       1.394us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.251ms         1.11%       1.251ms       9.771us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.186ms         1.06%       1.186ms       4.359us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.990us         0.89%     993.990us       7.530us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     949.150us         0.85%     949.150us      26.365us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     931.592us         0.83%     931.592us       5.176us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     840.739us         0.75%     840.739us       8.758us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     765.286us         0.68%     765.286us       5.627us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     674.851us         0.60%     674.851us       9.373us            72  
