-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      32.136ms        31.13%      32.136ms       9.017us          3564  
                                                _gateup         0.00%       0.000us         0.00%       0.000us       0.000us      23.849ms        23.10%      23.849ms      20.075us          1188  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.682ms         6.47%       6.682ms       2.812us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.482ms         6.28%       6.482ms       5.456us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.326ms         3.22%       3.326ms       1.400us          2376  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.880ms         2.79%       2.880ms       2.424us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.694ms         2.61%       2.694ms      76.958us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.242ms         2.17%       2.242ms       1.888us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.197ms         2.13%       2.197ms      61.023us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.274ms         1.23%       1.274ms      35.378us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.247ms         1.21%       1.247ms       9.746us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         1.15%       1.190ms       4.374us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     985.828us         0.96%     985.828us       7.468us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     848.741us         0.82%     848.741us       8.841us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     779.905us         0.76%     779.905us       5.735us           136  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     769.148us         0.75%     769.148us      21.365us            36  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     766.756us         0.74%     766.756us      21.299us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     723.593us         0.70%     723.593us       4.020us           180  
