-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      32.091ms        31.08%      32.091ms       9.004us          3564  
                                                _gateup         0.00%       0.000us         0.00%       0.000us       0.000us      23.848ms        23.10%      23.848ms      20.074us          1188  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.760ms         6.55%       6.760ms       2.845us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.476ms         6.27%       6.476ms       5.451us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.324ms         3.22%       3.324ms       1.399us          2376  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.878ms         2.79%       2.878ms       2.423us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.682ms         2.60%       2.682ms      76.640us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.248ms         2.18%       2.248ms       1.892us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.198ms         2.13%       2.198ms      61.054us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.273ms         1.23%       1.273ms      35.350us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.251ms         1.21%       1.251ms       9.772us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.188ms         1.15%       1.188ms       4.367us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     988.585us         0.96%     988.585us       7.489us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     848.325us         0.82%     848.325us       8.837us            96  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     775.272us         0.75%     775.272us      21.535us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     775.175us         0.75%     775.175us       5.700us           136  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     772.163us         0.75%     772.163us      21.449us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     720.294us         0.70%     720.294us       4.002us           180  
