-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      31.986ms        30.49%      31.986ms       8.975us          3564  
                                                _gateup         0.00%       0.000us         0.00%       0.000us       0.000us      23.808ms        22.69%      23.808ms      20.041us          1188  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.752ms         6.44%       6.752ms       2.842us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.449ms         6.15%       6.449ms       5.428us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.310ms         3.15%       3.310ms       1.393us          2376  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.942ms         2.80%       2.942ms      81.732us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.870ms         2.74%       2.870ms       2.416us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.685ms         2.56%       2.685ms      76.702us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.549ms         2.43%       2.549ms      35.408us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.245ms         2.14%       2.245ms       1.890us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.254ms         1.20%       1.254ms       9.796us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms         1.13%       1.181ms       4.342us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     989.861us         0.94%     989.861us       7.499us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     952.490us         0.91%     952.490us      26.458us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     934.089us         0.89%     934.089us       5.189us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     841.833us         0.80%     841.833us       8.769us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     766.338us         0.73%     766.338us       5.635us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     676.803us         0.65%     676.803us       9.400us            72  
