-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      57.508ms        53.18%      57.508ms      12.102us          4752  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.764ms         6.25%       6.764ms       2.847us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.502ms         6.01%       6.502ms       5.473us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.130ms         2.89%       3.130ms       1.317us          2376  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.925ms         2.70%       2.925ms      81.237us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.836ms         2.62%       2.836ms       2.387us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.691ms         2.49%       2.691ms      76.882us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.533ms         2.34%       2.533ms      35.176us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.227ms         2.06%       2.227ms       1.875us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.687ms         1.56%       1.687ms       1.420us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.253ms         1.16%       1.253ms       9.790us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.184ms         1.09%       1.184ms       4.351us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     990.753us         0.92%     990.753us       7.506us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     950.853us         0.88%     950.853us      26.413us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     930.730us         0.86%     930.730us       5.171us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.780us         0.78%     843.780us       8.789us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     777.157us         0.72%     777.157us       5.714us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     678.213us         0.63%     678.213us       9.420us            72  
