-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      57.485ms        52.28%      57.485ms      12.097us          4752  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.945ms         6.32%       6.945ms       2.923us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.395ms         5.82%       6.395ms       5.383us          1188  
                                       _int8_activation         0.00%       0.000us         0.00%       0.000us       0.000us       4.945ms         4.50%       4.945ms       2.081us          2376  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.903ms         2.64%       2.903ms      80.648us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.869ms         2.61%       2.869ms       2.415us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.683ms         2.44%       2.683ms      76.657us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.547ms         2.32%       2.547ms      35.371us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.216ms         2.02%       2.216ms       1.865us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.648ms         1.50%       1.648ms       1.387us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.253ms         1.14%       1.253ms       9.787us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms         1.07%       1.181ms       4.341us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     995.656us         0.91%     995.656us       7.543us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     939.262us         0.85%     939.262us      26.091us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     926.371us         0.84%     926.371us       5.147us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     841.922us         0.77%     841.922us       8.770us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     769.667us         0.70%     769.667us       5.659us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     674.272us         0.61%     674.272us       9.365us            72  
