-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      26.814ms        29.20%      26.814ms      11.285us          2376  
                                           _direct_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      19.097ms        20.80%      19.097ms       8.037us          2376  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.625ms         7.22%       6.625ms       2.788us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.300ms         6.86%       6.300ms       5.303us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.179ms         3.46%       3.179ms       1.338us          2376  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.689ms         2.93%       2.689ms      76.841us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.223ms         2.42%       2.223ms       1.871us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.194ms         2.39%       2.194ms      60.938us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.025ms         2.21%       2.025ms       1.705us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.272ms         1.39%       1.272ms      35.326us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.249ms         1.36%       1.249ms       9.759us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.185ms         1.29%       1.185ms       4.358us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.641us         1.08%     993.641us       7.528us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     848.065us         0.92%     848.065us       8.834us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     775.272us         0.84%     775.272us      21.535us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     771.368us         0.84%     771.368us      21.427us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     768.135us         0.84%     768.135us       5.648us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     720.251us         0.78%     720.251us       4.001us           180  
