-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      26.796ms        29.20%      26.796ms      11.278us          2376  
                                           _direct_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      19.096ms        20.81%      19.096ms       8.037us          2376  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.630ms         7.22%       6.630ms       2.790us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.308ms         6.87%       6.308ms       5.309us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.177ms         3.46%       3.177ms       1.337us          2376  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.692ms         2.93%       2.692ms      76.913us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.218ms         2.42%       2.218ms       1.867us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.196ms         2.39%       2.196ms      60.986us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.025ms         2.21%       2.025ms       1.704us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.266ms         1.38%       1.266ms      35.178us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.250ms         1.36%       1.250ms       9.769us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.184ms         1.29%       1.184ms       4.353us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     992.394us         1.08%     992.394us       7.518us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     842.023us         0.92%     842.023us       8.771us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     774.407us         0.84%     774.407us      21.511us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     769.673us         0.84%     769.673us      21.380us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     765.483us         0.83%     765.483us       5.629us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     719.300us         0.78%     719.300us       3.996us           180  
