-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.349ms        29.38%      30.349ms      25.547us          1188  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      23.015ms        22.28%      23.015ms      19.373us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.580ms        17.02%      17.580ms       7.399us          2376  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.058ms         4.90%       5.058ms       4.257us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.567ms         4.42%       4.567ms       3.845us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.695ms         2.61%       2.695ms      76.986us            35  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.211ms         2.14%       2.211ms      61.407us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.264ms         1.22%       1.264ms      35.100us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.248ms         1.21%       1.248ms       9.750us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.188ms         1.15%       1.188ms       4.369us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     987.403us         0.96%     987.403us       7.480us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     842.699us         0.82%     842.699us       8.778us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     788.871us         0.76%     788.871us      21.913us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.716us         0.75%     779.716us      21.659us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     671.293us         0.65%     671.293us       9.324us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     657.507us         0.64%     657.507us       6.322us           104  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     623.140us         0.60%     623.140us      18.883us            33  
