-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      32.794ms        39.12%      32.794ms      13.802us          2376  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us      16.290ms        19.43%      16.290ms       6.856us          2376  
attention_ordered(__nv_bfloat16 const*, __nv_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.659ms         5.56%       4.659ms       3.922us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.689ms         3.21%       2.689ms      76.823us            35  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.289ms         2.73%       2.289ms       1.927us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.202ms         2.63%       2.202ms      61.178us            36  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.169ms         2.59%       2.169ms       1.826us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.280ms         1.53%       1.280ms      35.567us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.258ms         1.50%       1.258ms       9.825us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms         1.41%       1.181ms       4.343us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     991.565us         1.18%     991.565us       7.512us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     852.045us         1.02%     852.045us       8.875us            96  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.372us         0.93%     779.372us      21.649us            36  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     776.006us         0.93%     776.006us      21.556us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     771.082us         0.92%     771.082us       5.670us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     719.375us         0.86%     719.375us       3.997us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     675.846us         0.81%     675.846us       9.387us            72  
