-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us      42.301ms        48.85%      42.301ms       8.902us          4752  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.668ms         7.70%       6.668ms       2.806us          2376  
attention_ordered(__nv_bfloat16 const*, __nv_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.617ms         5.33%       4.617ms       3.886us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.239ms         3.74%       3.239ms       1.363us          2376  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.683ms         3.10%       2.683ms      76.649us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.252ms         2.60%       2.252ms       1.895us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.185ms         2.52%       2.185ms      60.687us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.039ms         2.36%       2.039ms       1.717us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.261ms         1.46%       1.261ms      35.022us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.247ms         1.44%       1.247ms       9.746us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms         1.36%       1.181ms       4.343us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     989.357us         1.14%     989.357us       7.495us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     845.349us         0.98%     845.349us       8.806us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     769.670us         0.89%     769.670us      21.380us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     765.539us         0.88%     765.539us       5.629us           136  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     761.217us         0.88%     761.217us      21.145us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     723.334us         0.84%     723.334us       4.019us           180  
