-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      32.411ms        32.22%      32.411ms       9.094us          3564  
                                                _gateup         0.00%       0.000us         0.00%       0.000us       0.000us      23.749ms        23.61%      23.749ms      19.991us          1188  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.725ms         6.68%       6.725ms       2.831us          2376  
attention_ordered(__nv_bfloat16 const*, __nv_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.646ms         4.62%       4.646ms       3.911us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.258ms         3.24%       3.258ms       1.371us          2376  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.697ms         2.68%       2.697ms      77.070us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.243ms         2.23%       2.243ms       1.888us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.194ms         2.18%       2.194ms      60.933us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.011ms         2.00%       2.011ms       1.693us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.272ms         1.26%       1.272ms      35.329us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.251ms         1.24%       1.251ms       9.771us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.195ms         1.19%       1.195ms       4.394us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.541us         0.99%     993.541us       7.527us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.176us         0.84%     843.176us       8.783us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     777.035us         0.77%     777.035us      21.584us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     776.557us         0.77%     776.557us      21.571us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     763.613us         0.76%     763.613us       5.615us           136  
