-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          _gateup_quant         0.00%       0.000us         0.00%       0.000us       0.000us      21.085ms        24.06%      21.085ms      17.748us          1188  
                                           _direct_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      19.019ms        21.70%      19.019ms       8.005us          2376  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.639ms         7.57%       6.639ms       2.794us          2376  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       6.091ms         6.95%       6.091ms       5.127us          1188  
attention_ordered(__nv_bfloat16 const*, __nv_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.613ms         5.26%       4.613ms       3.883us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.697ms         3.08%       2.697ms      77.067us            35  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.354ms         2.69%       2.354ms       1.982us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.276ms         2.60%       2.276ms       1.916us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.191ms         2.50%       2.191ms      60.874us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.273ms         1.45%       1.273ms      35.366us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.255ms         1.43%       1.255ms       9.802us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         1.36%       1.189ms       4.371us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     987.916us         1.13%     987.916us       7.484us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.163us         0.96%     844.163us       8.793us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     775.113us         0.88%     775.113us      21.531us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     772.131us         0.88%     772.131us      21.448us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     770.283us         0.88%     770.283us       5.664us           136  
