-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      26.842ms        30.14%      26.842ms      11.297us          2376  
                                           _direct_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      19.104ms        21.45%      19.104ms       8.040us          2376  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.607ms         7.42%       6.607ms       2.781us          2376  
attention_ordered(__nv_bfloat16 const*, __nv_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.753ms         5.34%       4.753ms       4.001us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.693ms         3.02%       2.693ms      76.947us            35  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.329ms         2.61%       2.329ms       1.960us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.195ms         2.46%       2.195ms      60.971us            36  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.192ms         2.46%       2.192ms       1.845us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       1.666ms         1.87%       1.666ms       1.403us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.266ms         1.42%       1.266ms      35.179us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.257ms         1.41%       1.257ms       9.820us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.191ms         1.34%       1.191ms       4.379us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     987.048us         1.11%     987.048us       7.478us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.489us         0.95%     844.489us       8.797us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     778.244us         0.87%     778.244us      21.618us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     770.883us         0.87%     770.883us      21.413us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     768.296us         0.86%     768.296us       5.649us           136  
