-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      26.841ms        30.19%      26.841ms      11.297us          2376  
                                           _direct_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      19.116ms        21.50%      19.116ms       8.046us          2376  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.599ms         7.42%       6.599ms       2.777us          2376  
attention_ordered(__nv_bfloat16 const*, __nv_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.627ms         5.20%       4.627ms       3.895us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.695ms         3.03%       2.695ms      76.995us            35  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.327ms         2.62%       2.327ms       1.959us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.194ms         2.47%       2.194ms      60.951us            36  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.192ms         2.47%       2.192ms       1.845us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       1.665ms         1.87%       1.665ms       1.401us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.264ms         1.42%       1.264ms      35.104us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.255ms         1.41%       1.255ms       9.802us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.187ms         1.33%       1.187ms       4.362us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     989.836us         1.11%     989.836us       7.499us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     841.860us         0.95%     841.860us       8.769us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     776.227us         0.87%     776.227us      21.562us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     770.890us         0.87%     770.890us      21.414us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     768.836us         0.86%     768.836us       5.653us           136  
