-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      32.896ms        28.64%      32.896ms      13.845us          2376  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      31.553ms        27.47%      31.553ms      26.560us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us      10.260ms         8.93%      10.260ms       8.637us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.273ms         5.46%       6.273ms       5.280us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       5.725ms         4.98%       5.725ms       4.819us          1188  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.416ms         4.71%       5.416ms       4.559us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.682ms         2.33%       2.682ms      76.630us            35  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.197ms         1.91%       2.197ms      61.040us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.255ms         1.09%       1.255ms      34.862us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.243ms         1.08%       1.243ms       9.709us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.188ms         1.03%       1.188ms       4.368us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     981.353us         0.85%     981.353us       7.434us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     841.313us         0.73%     841.313us       8.764us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     787.941us         0.69%     787.941us      21.887us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     773.287us         0.67%     773.287us      21.480us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     672.133us         0.59%     672.133us       9.335us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     658.185us         0.57%     658.185us       6.329us           104  
