-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      46.593ms        50.32%      46.593ms       9.805us          4752  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.659ms         7.19%       6.659ms       2.803us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.326ms         6.83%       6.326ms       5.325us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.184ms         3.44%       3.184ms       1.340us          2376  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.696ms         2.91%       2.696ms      77.033us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.243ms         2.42%       2.243ms       1.888us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.189ms         2.36%       2.189ms      60.814us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.023ms         2.18%       2.023ms       1.703us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.271ms         1.37%       1.271ms      35.309us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.257ms         1.36%       1.257ms       9.823us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.186ms         1.28%       1.186ms       4.361us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     990.791us         1.07%     990.791us       7.506us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     845.955us         0.91%     845.955us       8.812us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     777.033us         0.84%     777.033us      21.584us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     771.239us         0.83%     771.239us       5.671us           136  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     770.051us         0.83%     770.051us      21.390us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     723.196us         0.78%     723.196us       4.018us           180  
