-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      48.824ms        51.47%      48.824ms      10.274us          4752  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.670ms         7.03%       6.670ms       2.807us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.345ms         6.69%       6.345ms       5.341us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.175ms         3.35%       3.175ms       1.336us          2376  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.699ms         2.85%       2.699ms      77.116us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.255ms         2.38%       2.255ms       1.898us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.197ms         2.32%       2.197ms      61.024us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.024ms         2.13%       2.024ms       1.704us          1188  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.272ms         1.34%       1.272ms      35.325us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.255ms         1.32%       1.255ms       9.806us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.185ms         1.25%       1.185ms       4.355us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     992.683us         1.05%     992.683us       7.520us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     841.797us         0.89%     841.797us       8.769us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     776.740us         0.82%     776.740us      21.576us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     770.530us         0.81%     770.530us      21.404us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     768.326us         0.81%     768.326us       5.649us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     719.842us         0.76%     719.842us       3.999us           180  
