-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           _packed_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      46.767ms        49.91%      46.767ms       9.842us          4752  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.616ms         7.06%       6.616ms       2.785us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.466ms         6.90%       6.466ms       5.443us          1188  
                               _int8_activation_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       3.162ms         3.37%       3.162ms       1.331us          2376  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.864ms         3.06%       2.864ms       2.411us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.675ms         2.85%       2.675ms      76.439us            35  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.237ms         2.39%       2.237ms       1.883us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.197ms         2.34%       2.197ms      61.019us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.269ms         1.35%       1.269ms      35.256us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.255ms         1.34%       1.255ms       9.803us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.187ms         1.27%       1.187ms       4.362us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     989.698us         1.06%     989.698us       7.498us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     840.711us         0.90%     840.711us       8.757us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     774.857us         0.83%     774.857us      21.524us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     771.782us         0.82%     771.782us      21.438us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     769.029us         0.82%     769.029us       5.655us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     721.773us         0.77%     721.773us       4.010us           180  
