-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      32.688ms        29.65%      32.688ms      13.758us          2376  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.619ms        27.77%      30.619ms      25.773us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       9.690ms         8.79%       9.690ms       8.157us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.211ms         5.63%       6.211ms       5.228us          1188  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.075ms         4.60%       5.075ms       4.272us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       3.271ms         2.97%       3.271ms       2.753us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.687ms         2.44%       2.687ms      76.761us            35  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.207ms         2.00%       2.207ms      61.308us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.257ms         1.14%       1.257ms      34.928us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.250ms         1.13%       1.250ms       9.766us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.187ms         1.08%       1.187ms       4.363us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     983.778us         0.89%     983.778us       7.453us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     842.764us         0.76%     842.764us       8.779us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     784.005us         0.71%     784.005us      21.778us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     778.981us         0.71%     778.981us      21.638us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     671.014us         0.61%     671.014us       9.320us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     656.769us         0.60%     656.769us       6.315us           104  
