-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      32.845ms        29.50%      32.845ms      13.824us          2376  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.837ms        27.70%      30.837ms      25.957us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       9.732ms         8.74%       9.732ms       8.192us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.220ms         5.59%       6.220ms       5.235us          1188  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.083ms         4.57%       5.083ms       4.279us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       3.258ms         2.93%       3.258ms       2.742us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.691ms         2.42%       2.691ms      76.892us            35  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.199ms         1.97%       2.199ms      61.070us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.287ms         1.16%       1.287ms      35.745us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.250ms         1.12%       1.250ms       9.766us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.192ms         1.07%       1.192ms       4.382us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     987.658us         0.89%     987.658us       7.482us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     846.632us         0.76%     846.632us       8.819us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     778.562us         0.70%     778.562us      21.627us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     773.824us         0.70%     773.824us      21.495us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     672.324us         0.60%     672.324us       9.338us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     660.293us         0.59%     660.293us       6.349us           104  
