-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.768ms        29.65%      30.768ms      25.899us          1188  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      23.023ms        22.19%      23.023ms      19.379us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.595ms        16.96%      17.595ms       7.405us          2376  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.074ms         4.89%       5.074ms       4.271us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.561ms         4.40%       4.561ms       3.839us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.700ms         2.60%       2.700ms      77.153us            35  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.207ms         2.13%       2.207ms      61.314us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.259ms         1.21%       1.259ms      34.981us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.251ms         1.21%       1.251ms       9.774us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         1.15%       1.190ms       4.374us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     988.937us         0.95%     988.937us       7.492us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     842.183us         0.81%     842.183us       8.773us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     787.529us         0.76%     787.529us      21.876us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.779us         0.75%     779.779us      21.661us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     674.530us         0.65%     674.530us       9.368us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     656.426us         0.63%     656.426us       6.312us           104  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     624.134us         0.60%     624.134us      18.913us            33  
