-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us      44.868ms        51.93%      44.868ms       9.442us          4752  
                                            _norm_quant         0.00%       0.000us         0.00%       0.000us       0.000us       6.669ms         7.72%       6.669ms       2.807us          2376  
attention_ordered(__nv_bfloat16 const*, __nv_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.647ms         5.38%       4.647ms       3.912us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.704ms         3.13%       2.704ms      77.255us            35  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.353ms         2.72%       2.353ms       1.981us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.258ms         2.61%       2.258ms       1.900us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.193ms         2.54%       2.193ms      60.914us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.275ms         1.48%       1.275ms      35.425us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.259ms         1.46%       1.259ms       9.834us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.194ms         1.38%       1.194ms       4.388us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.990us         1.15%     993.990us       7.530us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     846.347us         0.98%     846.347us       8.816us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     777.446us         0.90%     777.446us      21.596us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     774.054us         0.90%     774.054us      21.502us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     772.161us         0.89%     772.161us       5.678us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     722.887us         0.84%     722.887us       4.016us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     678.854us         0.79%     678.854us       9.429us            72  
