-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      49.650ms        58.80%      49.650ms      10.448us          4752  
attention_ordered(__nv_bfloat16 const*, __nv_bfloat1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.646ms         5.50%       4.646ms       3.911us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.687ms         3.18%       2.687ms      76.763us            35  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       2.338ms         2.77%       2.338ms       1.968us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.227ms         2.64%       2.227ms       1.874us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.200ms         2.61%       2.200ms      61.112us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.272ms         1.51%       1.272ms      35.331us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.251ms         1.48%       1.251ms       9.772us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.185ms         1.40%       1.185ms       4.358us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     987.373us         1.17%     987.373us       7.480us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     848.904us         1.01%     848.904us       8.843us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.948us         0.92%     779.948us      21.665us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     773.894us         0.92%     773.894us      21.497us            36  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     766.431us         0.91%     766.431us       5.636us           136  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     722.696us         0.86%     722.696us       4.015us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     673.634us         0.80%     673.634us       9.356us            72  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     623.970us         0.74%     623.970us      18.908us            33  
