-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      47.719ms        36.69%      47.719ms      20.084us          2376  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      36.450ms        28.02%      36.450ms      15.341us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.378ms         4.90%       6.378ms       5.368us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.285ms         4.06%       5.285ms       2.224us          2376  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.902ms         2.23%       2.902ms      80.620us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.810ms         2.16%       2.810ms       2.365us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.684ms         2.06%       2.684ms      76.685us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.591ms         1.99%       2.591ms      35.985us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.129ms         1.64%       2.129ms       1.792us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.471ms         1.13%       1.471ms       1.238us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.247ms         0.96%       1.247ms       9.739us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.191ms         0.92%       1.191ms       4.377us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     995.955us         0.77%     995.955us       7.545us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     945.664us         0.73%     945.664us      26.268us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     934.306us         0.72%     934.306us       5.191us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     848.061us         0.65%     848.061us       8.834us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     769.532us         0.59%     769.532us       5.658us           136  
