-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _int4_gemv         0.00%       0.000us         0.00%       0.000us       0.000us     140.061ms        71.72%     140.061ms      29.474us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.638ms         6.98%      13.638ms      11.480us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.282ms         2.70%       5.282ms       2.068us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.225ms         1.65%       3.225ms       1.317us          2448  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.909ms         1.49%       2.909ms      80.815us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.689ms         1.38%       2.689ms      76.823us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.580ms         1.32%       2.580ms      35.840us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.208ms         1.13%       2.208ms       1.858us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.005ms         1.03%       2.005ms       1.688us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.657ms         0.85%       1.657ms       1.395us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.242ms         0.64%       1.242ms       9.707us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.176ms         0.60%       1.176ms       4.323us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.667us         0.51%     993.667us       7.528us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     952.680us         0.49%     952.680us      26.463us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     933.825us         0.48%     933.825us       5.188us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     842.085us         0.43%     842.085us       8.772us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     773.440us         0.40%     773.440us       5.687us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     675.943us         0.35%     675.943us       9.388us            72  
