-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             _dp4a_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      57.721ms        45.92%      57.721ms      12.147us          4752  
                                       _int8_activation         0.00%       0.000us         0.00%       0.000us       0.000us      22.177ms        17.64%      22.177ms       4.667us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       6.315ms         5.02%       6.315ms       5.315us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.225ms         4.16%       5.225ms       2.199us          2376  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.924ms         2.33%       2.924ms      81.230us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.838ms         2.26%       2.838ms       2.389us          1188  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.703ms         2.15%       2.703ms      77.231us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.560ms         2.04%       2.560ms      35.551us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.242ms         1.78%       2.242ms       1.887us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.674ms         1.33%       1.674ms       1.409us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.245ms         0.99%       1.245ms       9.725us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         0.95%       1.189ms       4.373us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     993.089us         0.79%     993.089us       7.523us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     947.874us         0.75%     947.874us      26.330us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     930.535us         0.74%     930.535us       5.170us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.492us         0.67%     843.492us       8.786us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     767.947us         0.61%     767.947us       5.647us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     673.446us         0.54%     673.446us       9.353us            72  
