-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     _tiled_weight_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      89.747ms        61.68%      89.747ms      18.886us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.848ms         9.52%      13.848ms      11.656us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.321ms         3.66%       5.321ms       2.084us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.482ms         2.39%       3.482ms       1.423us          2448  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.907ms         2.00%       2.907ms      80.745us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.693ms         1.85%       2.693ms      76.951us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.583ms         1.78%       2.583ms      35.874us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.190ms         1.50%       2.190ms       1.843us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.997ms         1.37%       1.997ms       1.681us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.726ms         1.19%       1.726ms       1.453us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.244ms         0.85%       1.244ms       9.719us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.176ms         0.81%       1.176ms       4.322us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.002ms         0.69%       1.002ms       7.590us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     950.311us         0.65%     950.311us      26.398us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     933.254us         0.64%     933.254us       5.185us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     850.214us         0.58%     850.214us       8.856us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     768.094us         0.53%     768.094us       5.648us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     678.147us         0.47%     678.147us       9.419us            72  
