-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      46.802ms        33.92%      46.802ms      19.698us          2376  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      35.815ms        25.96%      35.815ms      15.074us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.710ms         9.94%      13.710ms      11.540us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.343ms         3.87%       5.343ms       2.092us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.321ms         2.41%       3.321ms       1.357us          2448  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.903ms         2.10%       2.903ms      80.637us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.693ms         1.95%       2.693ms      76.953us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.605ms         1.89%       2.605ms      36.179us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.089ms         1.51%       2.089ms       1.758us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.984ms         1.44%       1.984ms       1.670us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.614ms         1.17%       1.614ms       1.358us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.244ms         0.90%       1.244ms       9.717us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         0.86%       1.190ms       4.377us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     994.044us         0.72%     994.044us       7.531us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     945.450us         0.69%     945.450us      26.263us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     940.710us         0.68%     940.710us       5.226us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     846.480us         0.61%     846.480us       8.818us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     766.436us         0.56%     766.436us       5.636us           136  
