-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      47.373ms        35.18%      47.373ms      19.938us          2376  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      36.462ms        27.08%      36.462ms      15.346us          2376  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       9.324ms         6.92%       9.324ms       7.848us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.365ms         3.98%       5.365ms       2.100us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.479ms         2.58%       3.479ms       1.421us          2448  
         nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.906ms         2.16%       2.906ms      80.721us            36  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.674ms         1.99%       2.674ms      76.404us            35  
                nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.613ms         1.94%       2.613ms      36.285us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.156ms         1.60%       2.156ms       1.815us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.963ms         1.46%       1.963ms       1.652us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.488ms         1.10%       1.488ms       1.252us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.252ms         0.93%       1.252ms       9.783us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.186ms         0.88%       1.186ms       4.362us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     987.761us         0.73%     987.761us       7.483us           132  
                nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     950.439us         0.71%     950.439us      26.401us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     932.455us         0.69%     932.455us       5.180us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.905us         0.63%     844.905us       8.801us            96  
