-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us     120.475ms        68.23%     120.475ms      25.352us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.952ms         7.90%      13.952ms      11.744us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.332ms         3.02%       5.332ms       2.088us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.618ms         2.05%       3.618ms       1.478us          2448  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.893ms         1.64%       2.893ms      80.366us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.715ms         1.54%       2.715ms      77.580us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.607ms         1.48%       2.607ms      36.213us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.183ms         1.24%       2.183ms       1.837us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.006ms         1.14%       2.006ms       1.689us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.769ms         1.00%       1.769ms       1.489us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.246ms         0.71%       1.246ms       9.733us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.178ms         0.67%       1.178ms       4.331us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     992.936us         0.56%     992.936us       7.522us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     945.541us         0.54%     945.541us      26.265us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     930.631us         0.53%     930.631us       5.170us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     847.935us         0.48%     847.935us       8.833us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     773.191us         0.44%     773.191us       5.685us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     676.326us         0.38%     676.326us       9.393us            72  
