-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us      62.095ms        35.79%      62.095ms      17.423us          3564  
                                         _fp8_silu_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      59.652ms        34.38%      59.652ms      50.212us          1188  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.948ms         8.04%      13.948ms      11.741us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.536ms         3.19%       5.536ms       2.330us          2376  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.889ms         1.67%       2.889ms      80.261us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.712ms         1.56%       2.712ms      77.481us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.621ms         1.51%       2.621ms      36.403us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.200ms         1.27%       2.200ms       1.851us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.018ms         1.16%       2.018ms       1.698us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.247ms         0.72%       1.247ms       9.741us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms         0.68%       1.181ms       4.343us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     994.401us         0.57%     994.401us       7.533us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     938.059us         0.54%     938.059us      26.057us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     934.307us         0.54%     934.307us       5.191us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     846.988us         0.49%     846.988us       8.823us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     773.822us         0.45%     773.822us       5.690us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     677.640us         0.39%     677.640us       9.412us            72  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     618.858us         0.36%     618.858us      18.753us            33  
