-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us     120.282ms        71.28%     120.282ms      25.312us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us       7.924ms         4.70%       7.924ms       6.670us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.550ms         3.29%       5.550ms       2.336us          2376  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.912ms         1.73%       2.912ms      80.892us            36  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.856ms         1.69%       2.856ms       2.404us          1188  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.703ms         1.60%       2.703ms      77.217us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.625ms         1.56%       2.625ms      36.463us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.256ms         1.34%       2.256ms       1.899us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.762ms         1.04%       1.762ms       1.483us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.243ms         0.74%       1.243ms       9.713us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms         0.70%       1.181ms       4.343us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     999.522us         0.59%     999.522us       7.572us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     946.887us         0.56%     946.887us      26.302us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     931.180us         0.55%     931.180us       5.173us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     850.503us         0.50%     850.503us       8.859us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     779.248us         0.46%     779.248us       5.730us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     679.750us         0.40%     679.750us       9.441us            72  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     617.446us         0.37%     617.446us      18.710us            33  
