-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us      62.090ms        35.78%      62.090ms      17.421us          3564  
                                         _fp8_silu_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      59.672ms        34.38%      59.672ms      50.229us          1188  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.923ms         8.02%      13.923ms      11.719us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.626ms         3.24%       5.626ms       2.368us          2376  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.909ms         1.68%       2.909ms      80.800us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.681ms         1.54%       2.681ms      76.595us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.590ms         1.49%       2.590ms      35.967us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.210ms         1.27%       2.210ms       1.860us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.989ms         1.15%       1.989ms       1.674us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.244ms         0.72%       1.244ms       9.722us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.178ms         0.68%       1.178ms       4.330us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     994.272us         0.57%     994.272us       7.532us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     950.403us         0.55%     950.403us      26.400us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     932.897us         0.54%     932.897us       5.183us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     848.398us         0.49%     848.398us       8.837us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     765.661us         0.44%     765.661us       5.630us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     677.279us         0.39%     677.279us       9.407us            72  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     618.022us         0.36%     618.022us      18.728us            33  
