-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us      61.980ms        35.74%      61.980ms      17.391us          3564  
                                         _fp8_silu_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      59.668ms        34.41%      59.668ms      50.226us          1188  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.926ms         8.03%      13.926ms      11.722us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.636ms         3.25%       5.636ms       2.372us          2376  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.909ms         1.68%       2.909ms      80.819us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.679ms         1.55%       2.679ms      76.551us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.581ms         1.49%       2.581ms      35.849us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.210ms         1.27%       2.210ms       1.860us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.991ms         1.15%       1.991ms       1.676us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.243ms         0.72%       1.243ms       9.707us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.181ms         0.68%       1.181ms       4.340us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     994.179us         0.57%     994.179us       7.532us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     953.897us         0.55%     953.897us      26.497us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     933.295us         0.54%     933.295us       5.185us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.065us         0.49%     844.065us       8.792us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     765.039us         0.44%     765.039us       5.625us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     675.044us         0.39%     675.044us       9.376us            72  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     616.355us         0.36%     616.355us      18.677us            33  
