-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us      61.973ms        35.75%      61.973ms      17.389us          3564  
                                         _fp8_silu_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      59.638ms        34.40%      59.638ms      50.200us          1188  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.933ms         8.04%      13.933ms      11.728us          1188  
                                           _add_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.620ms         3.24%       5.620ms       2.365us          2376  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.902ms         1.67%       2.902ms      80.618us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.674ms         1.54%       2.674ms      76.408us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.586ms         1.49%       2.586ms      35.922us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.211ms         1.28%       2.211ms       1.861us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.988ms         1.15%       1.988ms       1.674us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.245ms         0.72%       1.245ms       9.723us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.179ms         0.68%       1.179ms       4.333us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.001ms         0.58%       1.001ms       7.581us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     953.958us         0.55%     953.958us      26.499us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     933.189us         0.54%     933.189us       5.184us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     849.641us         0.49%     849.641us       8.850us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     765.286us         0.44%     765.286us       5.627us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     673.449us         0.39%     673.449us       9.353us            72  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     616.324us         0.36%     616.324us      18.676us            33  
