-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us     120.410ms        68.21%     120.410ms      25.339us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.964ms         7.91%      13.964ms      11.754us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.332ms         3.02%       5.332ms       2.088us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.605ms         2.04%       3.605ms       1.473us          2448  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.907ms         1.65%       2.907ms      80.737us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.700ms         1.53%       2.700ms      77.151us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.630ms         1.49%       2.630ms      36.529us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.178ms         1.23%       2.178ms       1.833us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       2.004ms         1.14%       2.004ms       1.687us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.776ms         1.01%       1.776ms       1.495us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.245ms         0.71%       1.245ms       9.727us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.177ms         0.67%       1.177ms       4.326us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     998.687us         0.57%     998.687us       7.566us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     946.597us         0.54%     946.597us      26.294us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     931.684us         0.53%     931.684us       5.176us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     850.885us         0.48%     850.885us       8.863us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     777.638us         0.44%     777.638us       5.718us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     679.472us         0.38%     679.472us       9.437us            72  
