-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      32.722ms        29.50%      32.722ms      13.772us          2376  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.617ms        27.61%      30.617ms      25.772us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       9.653ms         8.70%       9.653ms       8.125us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.157ms         5.55%       6.157ms       5.183us          1188  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.052ms         4.56%       5.052ms       4.252us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.636ms         4.18%       4.636ms       3.903us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.208ms         1.99%       2.208ms      61.346us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.259ms         1.14%       1.259ms      34.971us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.245ms         1.12%       1.245ms       9.730us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.188ms         1.07%       1.188ms       4.369us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.025ms         0.92%       1.025ms      93.150us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     984.233us         0.89%     984.233us       7.456us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.552us         0.76%     844.552us       8.797us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     798.435us         0.72%     798.435us      22.179us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     782.441us         0.71%     782.441us      21.734us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     671.205us         0.61%     671.205us       9.322us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     661.862us         0.60%     661.862us       6.364us           104  
