-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      32.831ms        29.55%      32.831ms      13.818us          2376  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.726ms        27.65%      30.726ms      25.864us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       9.701ms         8.73%       9.701ms       8.166us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.471ms         5.82%       6.471ms       5.447us          1188  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.066ms         4.56%       5.066ms       4.264us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.225ms         3.80%       4.225ms       3.557us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.209ms         1.99%       2.209ms      61.352us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.262ms         1.14%       1.262ms      35.051us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.246ms         1.12%       1.246ms       9.737us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.193ms         1.07%       1.193ms       4.387us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.024ms         0.92%       1.024ms      93.054us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     986.856us         0.89%     986.856us       7.476us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.970us         0.76%     843.970us       8.791us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     795.206us         0.72%     795.206us      22.089us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.558us         0.70%     779.558us      21.654us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     676.772us         0.61%     676.772us       9.400us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     664.619us         0.60%     664.619us       6.391us           104  
