-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      40.157ms        36.80%      40.157ms      11.267us          3564  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.230ms        27.70%      30.230ms      25.446us          1188  
void attention_history<3, false, 1>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us      11.875ms        10.88%      11.875ms       9.996us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.771ms         4.37%       4.771ms       4.016us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.210ms         2.03%       2.210ms      61.388us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.260ms         1.15%       1.260ms      34.999us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.243ms         1.14%       1.243ms       9.713us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         1.09%       1.189ms       4.372us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.024ms         0.94%       1.024ms      93.109us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     984.232us         0.90%     984.232us       7.456us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.534us         0.77%     843.534us       8.787us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     797.640us         0.73%     797.640us      22.157us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     780.010us         0.71%     780.010us      21.667us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     673.133us         0.62%     673.133us       9.349us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     661.635us         0.61%     661.635us       6.362us           104  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     633.606us         0.58%     633.606us      19.200us            33  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     511.625us         0.47%     511.625us      10.659us            48  
