-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      40.283ms        36.77%      40.283ms      11.303us          3564  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.339ms        27.69%      30.339ms      25.537us          1188  
void attention_history<3, false, 1>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us      11.910ms        10.87%      11.910ms      10.025us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.883ms         4.46%       4.883ms       4.111us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.208ms         2.02%       2.208ms      61.341us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.262ms         1.15%       1.262ms      35.066us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.251ms         1.14%       1.251ms       9.776us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         1.09%       1.189ms       4.372us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.027ms         0.94%       1.027ms      93.388us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     986.732us         0.90%     986.732us       7.475us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.007us         0.77%     844.007us       8.792us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     797.220us         0.73%     797.220us      22.145us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     783.010us         0.71%     783.010us      21.750us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     675.947us         0.62%     675.947us       9.388us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     667.176us         0.61%     667.176us       6.415us           104  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     636.419us         0.58%     636.419us      19.285us            33  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     515.083us         0.47%     515.083us      10.731us            48  
