-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         8.35%       7.725ms        11.56%      10.690ms      19.022us       8.043ms        47.41%       8.043ms      14.311us           562  
                                              aten::mul         7.90%       7.306ms        12.85%      11.884ms       8.738us       2.146ms        12.65%       2.146ms       1.578us          1360  
                     nvjet_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.140ms        12.61%       2.140ms      29.718us            72  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.337ms         7.88%       1.337ms       1.491us           897  
              nvjet_tst_128x8_64x12_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.075ms         6.33%       1.075ms      29.852us            36  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     867.173us         5.11%     867.173us      12.044us            72  
                                              aten::add         4.40%       4.073ms         7.00%       6.475ms       8.882us     852.585us         5.03%     852.585us       1.170us           729  
                                            aten::copy_         1.69%       1.567ms         3.61%       3.338ms       7.967us     729.899us         4.30%     729.899us       1.742us           419  
                                              aten::cat         3.03%       2.805ms         5.72%       5.288ms      18.818us     722.149us         4.26%     722.149us       2.570us           281  
                     aten::_efficient_attention_forward         0.85%     784.797us         1.74%       1.613ms      23.723us     656.930us         3.87%     656.930us       9.661us            68  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     656.930us         3.87%     656.930us       9.661us            68  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     633.988us         3.74%     633.988us       9.906us            64  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     620.876us         3.66%     620.876us       1.229us           505  
                                aten::native_layer_norm         1.32%       1.224ms         3.35%       3.099ms      22.785us     577.059us         3.40%     577.059us       4.243us           136  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us     577.059us         3.40%     577.059us       4.243us           136  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     508.584us         3.00%     508.584us       7.706us            66  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     504.579us         2.97%     504.579us       2.358us           214  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     492.960us         2.91%     492.960us       2.282us           216  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     426.787us         2.52%     426.787us       1.432us           298  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     420.420us         2.48%     420.420us       8.759us            48  
               nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     415.041us         2.45%     415.041us       5.764us            72  
                                             aten::mean         1.15%       1.064ms         1.70%       1.576ms      10.872us     359.460us         2.12%     359.460us       2.479us           145  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     359.460us         2.12%     359.460us       2.479us           145  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     342.789us         2.02%     342.789us       9.522us            36  
                         aten::_flash_attention_forward         0.75%     697.160us         2.76%       2.556ms      71.003us     327.134us         1.93%     327.134us       9.087us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     323.426us         1.91%     323.426us     323.426us             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     303.198us         1.79%     303.198us       1.684us           180  
                                            aten::fill_         0.99%     916.962us         2.14%       1.983ms       6.655us     261.375us         1.54%     261.375us       0.877us           298  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     255.393us         1.51%     255.393us      10.641us            24  
                                              aten::sub         1.14%       1.058ms         1.83%       1.697ms       8.317us     250.211us         1.47%     250.211us       1.227us           204  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     234.174us         1.38%     234.174us       1.148us           204  
                                           aten::arange         1.98%       1.835ms         7.19%       6.650ms      12.179us     217.861us         1.28%     435.722us       0.798us           546  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     210.981us         1.24%     210.981us       1.199us           176  
void pytorch_flash::flash_fwd_splitkv_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     205.472us         1.21%     205.472us       5.708us            36  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     201.123us         1.19%     201.123us       6.285us            32  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 92.477ms
Self CUDA time total: 16.966ms
