-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.346ms        29.55%      30.346ms      25.544us          1188  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      23.007ms        22.40%      23.007ms      19.366us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.579ms        17.12%      17.579ms       7.398us          2376  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.074ms         4.94%       5.074ms       4.271us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.601ms         4.48%       4.601ms       3.873us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.207ms         2.15%       2.207ms      61.306us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.259ms         1.23%       1.259ms      34.977us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.249ms         1.22%       1.249ms       9.754us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.193ms         1.16%       1.193ms       4.385us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.021ms         0.99%       1.021ms      92.862us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     983.593us         0.96%     983.593us       7.451us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.843us         0.82%     843.843us       8.790us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     799.556us         0.78%     799.556us      22.210us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.624us         0.76%     779.624us      21.656us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     671.780us         0.65%     671.780us       9.330us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     663.879us         0.65%     663.879us       6.383us           104  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     632.868us         0.62%     632.868us      19.178us            33  
