-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _gemv         0.00%       0.000us         0.00%       0.000us       0.000us     120.478ms        68.23%     120.478ms      25.353us          4752  
                                           _decode_attn         0.00%       0.000us         0.00%       0.000us       0.000us      13.942ms         7.90%      13.942ms      11.736us          1188  
                                               _rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us       5.343ms         3.03%       5.343ms       2.092us          2554  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.620ms         2.05%       3.620ms       1.479us          2448  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.909ms         1.65%       2.909ms      80.794us            36  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.675ms         1.52%       2.675ms      76.436us            35  
                     nvjet_tst_128x64_64x8_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.597ms         1.47%       2.597ms      36.067us            72  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       2.203ms         1.25%       2.203ms       1.854us          1188  
                                    _decode_attn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.979ms         1.12%       1.979ms       1.665us          1188  
                                              _silu_mul         0.00%       0.000us         0.00%       0.000us       0.000us       1.787ms         1.01%       1.787ms       1.504us          1188  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.241ms         0.70%       1.241ms       9.693us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         0.67%       1.189ms       4.370us           272  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     995.911us         0.56%     995.911us       7.545us           132  
                     nvjet_tst_96x128_64x7_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     948.681us         0.54%     948.681us      26.352us            36  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     932.745us         0.53%     932.745us       5.182us           180  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     849.164us         0.48%     849.164us       8.845us            96  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     769.801us         0.44%     769.801us       5.660us           136  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     671.844us         0.38%     671.844us       9.331us            72  
