-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      40.199ms        39.41%      40.199ms      11.279us          3564  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.118ms        29.53%      30.118ms      25.352us          1188  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.060ms         4.96%       5.060ms       4.259us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.560ms         4.47%       4.560ms       3.838us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.208ms         2.16%       2.208ms      61.333us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.263ms         1.24%       1.263ms      35.086us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.241ms         1.22%       1.241ms       9.698us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.185ms         1.16%       1.185ms       4.357us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.020ms         1.00%       1.020ms      92.760us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     985.645us         0.97%     985.645us       7.467us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     840.617us         0.82%     840.617us       8.756us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     800.967us         0.79%     800.967us      22.249us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     778.533us         0.76%     778.533us      21.626us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     671.144us         0.66%     671.144us       9.321us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     662.601us         0.65%     662.601us       6.371us           104  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     632.452us         0.62%     632.452us      19.165us            33  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     511.398us         0.50%     511.398us      10.654us            48  
