-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      32.770ms        29.85%      32.770ms      13.792us          2376  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.709ms        27.97%      30.709ms      25.849us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       9.683ms         8.82%       9.683ms       8.150us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.235ms         5.68%       6.235ms       5.248us          1188  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.050ms         4.60%       5.050ms       4.251us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       3.289ms         3.00%       3.289ms       2.768us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.210ms         2.01%       2.210ms      61.389us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.259ms         1.15%       1.259ms      34.966us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.241ms         1.13%       1.241ms       9.696us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         1.08%       1.189ms       4.371us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.027ms         0.94%       1.027ms      93.327us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     986.957us         0.90%     986.957us       7.477us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     844.779us         0.77%     844.779us       8.800us            96  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     781.100us         0.71%     781.100us      21.697us            36  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     769.670us         0.70%     769.670us      21.380us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     671.465us         0.61%     671.465us       9.326us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     658.147us         0.60%     658.147us       6.328us           104  
