-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      32.717ms        29.67%      32.717ms      13.770us          2376  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.651ms        27.80%      30.651ms      25.801us          1188  
                                         _qk_rope_cache         0.00%       0.000us         0.00%       0.000us       0.000us       9.679ms         8.78%       9.679ms       8.147us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.224ms         5.64%       6.224ms       5.239us          1188  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.068ms         4.60%       5.068ms       4.266us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       3.282ms         2.98%       3.282ms       2.763us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.214ms         2.01%       2.214ms      61.498us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.305ms         1.18%       1.305ms      36.258us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.244ms         1.13%       1.244ms       9.719us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.183ms         1.07%       1.183ms       4.349us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.024ms         0.93%       1.024ms      93.089us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     980.552us         0.89%     980.552us       7.428us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.214us         0.76%     843.214us       8.783us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     765.957us         0.69%     765.957us      21.277us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     763.558us         0.69%     763.558us      21.210us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     674.152us         0.61%     674.152us       9.363us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     662.311us         0.60%     662.311us       6.368us           104  
