-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               _project         0.00%       0.000us         0.00%       0.000us       0.000us      30.617ms        29.82%      30.617ms      25.772us          1188  
                                                  _norm         0.00%       0.000us         0.00%       0.000us       0.000us      22.850ms        22.26%      22.850ms      19.234us          1188  
                                                _kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.553ms        17.10%      17.553ms       7.388us          2376  
void attention_ordered_pdl<true, 2>(__nv_bfloat16 co...         0.00%       0.000us         0.00%       0.000us       0.000us       5.061ms         4.93%       5.061ms       4.260us          1188  
                                          _reduce_quant         0.00%       0.000us         0.00%       0.000us       0.000us       4.553ms         4.44%       4.553ms       3.833us          1188  
         nvjet_sm90_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.200ms         2.14%       2.200ms      61.122us            36  
         nvjet_sm90_tst_128x80_64x8_1x2_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.249ms         1.22%       1.249ms      34.687us            36  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.239ms         1.21%       1.239ms       9.681us           128  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         1.16%       1.189ms       4.371us           272  
                 nvjet_sm90_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.027ms         1.00%       1.027ms      93.353us            11  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     985.482us         0.96%     985.482us       7.466us           132  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     842.018us         0.82%     842.018us       8.771us            96  
                nvjet_sm90_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     792.452us         0.77%     792.452us      22.013us            36  
                nvjet_sm90_tst_128x80_64x8_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     779.396us         0.76%     779.396us      21.650us            36  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     669.382us         0.65%     669.382us       9.297us            72  
                                       _codec_attention         0.00%       0.000us         0.00%       0.000us       0.000us     660.802us         0.64%     660.802us       6.354us           104  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us     632.262us         0.62%     632.262us      19.159us            33  
